Source,Target,Type,Id,Label,Weight
42461020,42461032,Undirected,563,,2
42461032,42461034,Undirected,565,,2
42461034,42485207,Undirected,567,,1
42461034,9354021016,Undirected,568,,2
42461040,42517300,Undirected,570,,1
42461040,9354021014,Undirected,571,,1
42461041,42461040,Undirected,572,,1
42461045,42487313,Undirected,573,,1
42461045,42461041,Undirected,574,,1
42461063,42463605,Undirected,575,,2
42461063,42461069,Undirected,577,,2
42461069,42463609,Undirected,578,,2
42461069,42461071,Undirected,579,,2
42461069,42487912,Undirected,581,,2
42461071,42461074,Undirected,582,,2
42461071,12966195440,Undirected,583,,1
42461074,42499754,Undirected,586,,1
42461074,42461078,Undirected,587,,2
42461078,42461084,Undirected,589,,2
42461078,42482648,Undirected,590,,2
42461078,448152355,Undirected,591,,2
42461084,42485252,Undirected,592,,1
42461084,42461089,Undirected,594,,2
42461089,42461094,Undirected,596,,2
42461094,42471463,Undirected,597,,1
42461094,42461098,Undirected,599,,2
42461098,42461102,Undirected,600,,2
42461098,42521324,Undirected,602,,2
42461102,42461110,Undirected,603,,2
42461102,42502986,Undirected,604,,1
42461110,5379191830,Undirected,607,,2
42461334,598788320,Undirected,608,,1
42461334,42506064,Undirected,609,,1
42461379,248606828,Undirected,610,,1
42461379,588036479,Undirected,611,,1
42461394,2842884234,Undirected,612,,1
42461394,248606857,Undirected,613,,1
42461438,42504053,Undirected,614,,2
42461438,42492038,Undirected,615,,1
42461438,42494532,Undirected,616,,2
42461484,451051181,Undirected,617,,2
42461484,42461560,Undirected,618,,2
42461490,42490956,Undirected,619,,1
42461490,42504253,Undirected,620,,1
42461534,6147518089,Undirected,621,,2
42461534,598322314,Undirected,622,,1
42461534,42465525,Undirected,623,,2
42461560,588036476,Undirected,624,,2
42461566,2318552324,Undirected,626,,1
42461611,42478697,Undirected,627,,1
42461611,598357849,Undirected,628,,1
42461626,448152355,Undirected,629,,1
42461767,5540289612,Undirected,630,,2
42461767,42480227,Undirected,631,,1
42461914,10721679939,Undirected,632,,1
42461914,448100066,Undirected,633,,1
42461965,42485255,Undirected,634,,2
42461967,598043899,Undirected,635,,2
42461967,12240764264,Undirected,636,,1
42461988,42477151,Undirected,637,,1
42461988,42482834,Undirected,638,,1
42461992,42487355,Undirected,639,,1
42462018,42487323,Undirected,641,,1
42462185,451019504,Undirected,642,,1
42462219,42469341,Undirected,643,,2
42462219,42472722,Undirected,644,,1
42462352,42493879,Undirected,645,,1
42462352,42462387,Undirected,646,,1
42462387,42514897,Undirected,647,,1
42462387,42535035,Undirected,648,,2
42462437,451664370,Undirected,649,,2
42462437,11934180368,Undirected,650,,2
42462437,42465991,Undirected,651,,1
42462450,451666692,Undirected,652,,1
42462450,451667146,Undirected,653,,1
42462450,595939863,Undirected,654,,2
42462450,42465991,Undirected,655,,2
42462518,451660518,Undirected,656,,1
42462518,595939863,Undirected,657,,2
42462518,451664370,Undirected,658,,2
42462648,1257569595,Undirected,659,,1
42462713,598784313,Undirected,660,,1
42462719,42462713,Undirected,661,,1
42462719,42511862,Undirected,662,,1
