Id,accident_count,street_name
42463007,0,Ralph Avenue
42463060,5,Rockaway Parkway
42463099,0,Rua desconhecida
42463164,0,Rua desconhecida
42463202,1,Rua desconhecida
42463221,4,"Clarendon Road, Ralph Avenue"
42463222,0,"Ditmas Avenue, Clarendon Road"
42463227,0,Williamsburg Street West
42463268,0,"Havemeyer Street, Borinquen Place"
42463272,1,"Marcy Avenue, Borinquen Place"
42463294,0,Hicks Street
42463350,1,Rodney Street
42463363,0,"Graham Avenue, Meeker Avenue"
42463370,1,"Herbert Street, Humboldt Street"
42463374,1,"Meeker Avenue, Humboldt Street"
42463393,0,"3rd Avenue, 22nd Street"
42463398,1,"3rd Avenue, 22nd Street"
42463482,1,Shore Parkway
42463494,0,Dahlgren Place
42463529,0,Rockaway Parkway
42463605,0,85th Street
42463609,2,"Gatling Place, 86th Street"
42463626,0,Shore Parkway North
42463651,1,"Summit Street, Hicks Street"
42463657,0,"Summit Street, Hicks Street"
42463694,1,Belt Parkway
42463727,0,Atlantic Avenue
42463817,1,Bay 8th Street
42463891,0,38th Street
42463965,0,Hicks Street
42463992,2,"Bay Parkway, Shore Parkway"
42464043,4,86th Street
42464054,0,Atlantic Avenue
42464067,0,"Euclid Avenue, Atlantic Avenue"
42464075,0,Glen Street
42464077,0,Weldon Street
42464128,1,Shore Parkway North
42464160,0,Shore Parkway
42464200,3,"Vandervoort Avenue, Meeker Avenue"
42464209,3,"Scott Avenue, Randolph Street"
42464239,15,"Williamsburg Street West, Wythe Avenue"
42464290,0,Rua desconhecida
42464292,1,"Graham Avenue, Meeker Avenue"
42464341,1,Herkimer Street
42464344,1,"Atlantic Avenue, Roosevelt Place"
42464355,3,"Oriental Boulevard, West End Avenue"
42464365,0,"Oriental Boulevard, Amherst Street"
42464368,0,"Beaumont Street, Oriental Boulevard"
42464374,0,"Oriental Boulevard, Coleridge Street"
42464377,0,"Oriental Boulevard, Dover Street"
42464380,1,"Oriental Boulevard, Exeter Street"
42464383,0,"Falmouth Street, Oriental Boulevard"
42464385,0,"Oriental Boulevard, Girard Street"
42464386,0,"Oriental Boulevard, Hastings Street"
42464388,0,"Jaffray Street, Oriental Boulevard"
42464389,0,"Oriental Boulevard, Kensington Street"
42464392,0,Oriental Boulevard
42464396,0,"Oriental Boulevard, Norfolk Street"
42464397,0,"Oriental Boulevard, Oxford Street"
42464398,0,"Oriental Boulevard, Perry Avenue"
42464401,0,Oriental Boulevard
42464407,0,"Perry Avenue, John Berry Boulevard, Oriental Boulevard, Decatur Avenue, Seawall Avenue, Shore Boulevard"
42464409,6,Grand Street
42464411,0,"Powers Street, Catherine Street"
42464415,1,"Catherine Street, Devoe Street"
42464419,2,"Metropolitan Avenue, Catherine Street"
42464433,2,"Farragut Place, East 32nd Street, East 31st Street, Farragut Road"
42464434,2,"East 32nd Street, Glenwood Road"
42464435,2,"Avenue H, East 32nd Street"
42464439,1,Flatbush Avenue
42464442,4,"Church Avenue, East 32nd Street"
42464444,1,"Snyder Avenue, East 32nd Street"
42464445,0,"Tilden Avenue, East 32nd Street"
42464452,0,"Beverley Road, East 32nd Street"
42464454,2,"Cortelyou Road, East 32nd Street"
42464457,0,"Clarendon Road, East 32nd Street"
42464460,2,"Avenue D, East 32nd Street"
42464463,0,Newkirk Avenue
42464467,0,East 32nd Street
42464469,1,"Avenue I, East 32nd Street"
42464472,0,"East 32nd Street, Avenue J"
42464475,0,"East 32nd Street, Avenue K"
42464478,2,"East 32nd Street, Avenue L"
42464482,0,"Avenue M, East 32nd Street"
42464505,0,"Kings Highway, East 31st Street"
42464509,0,"East 32nd Street, Avenue P"
42464511,1,"Quentin Road, East 32nd Street"
42464514,1,"Avenue R, East 32nd Street"
42464516,0,"Fillmore Avenue, East 32nd Street"
42464517,1,"East 32nd Street, Avenue S"
42464551,0,"Joralemon Street, Willow Place"
42464553,0,State Street
42464560,0,"Downing Street, Quincy Street, Gates Avenue"
42464562,0,"Putnam Avenue, Downing Street"
42464564,3,Fulton Street
42464576,1,"Summit Street, Imlay Street, Bowne Street"
42464580,0,"Commerce Street, Imlay Street"
42464589,0,"Imlay Street, Pioneer Street"
42464610,0,Prince Street
42464621,0,"Myrtle Avenue, Prince Street"
42464631,3,"Flatbush Avenue Extension, Willoughby Street"
42464653,1,"45th Street, New Utrecht Avenue"
42464655,1,"11th Avenue, New Utrecht Avenue"
42464662,0,East New York Avenue
42464666,0,"Fulton Street, Georgia Avenue"
42464669,0,"Fulton Street, Sheffield Avenue"
42464672,8,"Pennsylvania Avenue, Fulton Street"
42464674,0,"New Jersey Avenue, Fulton Street"
42464676,1,"Fulton Street, Vermont Street"
42464677,0,"Fulton Street, Wyona Street"
42464679,2,"Fulton Street, Bradford Street"
42464682,2,"Miller Avenue, Fulton Street"
42464754,3,"Fulton Street, Van Siclen Avenue"
42464758,0,"Hendrix Street, Fulton Street"
42464761,1,"Fulton Street, Schenck Avenue"
42464767,2,"Fulton Street, Jerome Street"
42464770,2,"Fulton Street, Warwick Street"
42464773,0,"Fulton Street, Ashford Street"
42464776,0,"Fulton Street, Cleveland Street"
42464779,0,"Elton Street, Fulton Street"
42464782,0,"Linwood Street, Fulton Street"
42464786,4,"Essex Street, Fulton Street"
42464789,4,"Fulton Street, Shepherd Avenue"
42464792,2,"Fulton Street, Highland Place"
42464794,2,"Fulton Street, Hale Avenue"
42464796,4,"Norwood Avenue, Fulton Street, Arlington Avenue"
42464798,4,"Fulton Street, Logan Street"
42464799,1,"Force Tube Avenue, Fulton Street"
42464800,2,Fulton Street
42464802,7,"Fulton Street, Chestnut Street"
42464803,2,"Euclid Avenue, Fulton Street"
42464804,2,Fulton Street
42464805,0,"Fulton Street, Pine Street"
42464808,9,"Fulton Street, Crescent Street"
42464809,4,"Fulton Street, Hemlock Street"
42464810,3,"Fulton Street, Autumn Avenue"
42464811,3,"Fulton Street, Lincoln Avenue"
42464813,0,"Nichols Avenue, Fulton Street"
